proposition12,category,c1,oc1,a1,oa1,c2,oc2,a2,oa2,rel
The fact that it's in the bible should not dictate the laws against same sex couples becoming wed +++$+++ Laws have been changed for all sexes races' and genders for the same purpose equal rights,supports,bible, should not dictate the laws against , laws against same sex couples becoming wed,none,Laws ,have been changed ,sexes races'  genders equal rights,none,no
The fact that it's in the bible should not dictate the laws against same sex couples becoming wed +++$+++ Not allowing same sex couples to marry is like saying all people born with a certain hair color should not be allowed marry people of other hair colors It makes no sense,supports,bible, should not dictate the laws against , laws against same sex couples becoming wed,none,same sex couples  marry ,is like should not be allowed,people  hair color ,none,no
Same sex marriage should be legal +++$+++ Same sex marriage being illegal rids the couple of their civil rights,supports,Same sex marriage ,being illegal rids , illegal couple civil rights ,none,Same sex marriage ,being illegal rids ,couplecivil rights,none,no
Making same sex marriage illegal also makes the people who are attracted to the same sex feel inferior +++$+++ Nobody likes feeling inferior or like they a below standards,supports,same sex marriage illegal ,also makes feel inferior, people  attracted same sex  inferior,none,Nobody  feeling ,likes feeling inferior  below standards,feeling inferior standards,none,no
Making same sex marriage illegal also makes the people who are attracted to the same sex feel inferior +++$+++ by making sex marriage illegal you are making people who are attracted to the same sex feel and seem inferior to others,supports,same sex marriage illegal ,also makes feel inferior, people  attracted same sex  inferior,none,none,none,none,none,no
The fact that it's in the bible should not dictate the laws against same sex couples becoming wed +++$+++ It is hypocritical to not allow same sex marriage to occur when it appeals to a large growing group of people,supports,bible, should not dictate the laws against , laws against same sex couples becoming wed,none,It hypocritical ,to not allow ,same sex marriage group people,none,no
Same sex marriage should be legal +++$+++ it's no one else's business if two men or two women want to get married,supports,Same sex marriage ,should be legal,legal,none,it's business if two men or two women want to get married,is not business , two men women  get married,none,no
it's unfair to make same sex marriage seem inferior +++$+++ You would never make a women feel inferior for being a women,supports,it's unfair,unfair to make inferior, same sex marriage inferior,none,You ,would never make ,women feel inferior,none,no
Same sex marriage being illegal rids the couple of their civil rights +++$+++ just like women deserve to vote they should be allowed to get married,supports,Same sex marriage ,being illegal rids , illegal couple civil rights ,none,women ,deserve allowed , vote  get married,none,no
Same sex marriage should be legal +++$+++ not allowing them to marry makes them seem inferior,supports,Same sex marriage ,should be legal,legal,none,not allowing them  marry ,makes seem inferior,inferior,none,no
it's unfair to make same sex marriage seem inferior +++$+++ it is hypocritical to deny the full rights and opportunities of citizenship which includes the access to an institution as basic as matrimony,supports,it's unfair,unfair to make inferior, same sex marriage inferior,none,It hypocritical ,to not allow ,same sex marriage group people,none,no
Same sex marriage should be legal +++$+++ it rids them of their civil rights,supports,Same sex marriage ,should be legal,legal,none, it ,rids  of , civil rights,none,no
Same sex marriage should be legal +++$+++ It's wrong to tell two people who love each other that they cannot marry,supports,Same sex marriage ,should be legal,legal,none,It's wrong to tell ,wrong to tell  , people  love marry,none,no
Same sex marriage should be legal +++$+++ There is absolutely no legal logical or governing reason that same sex couples cannot be wed,supports,Same sex marriage ,should be legal,legal,none, legal logical  governing reason ,cannot, same sex couples wed,none,no
Same sex marriage should be legal +++$+++ it's extremely unconstitutional in every way to tell them they can't,supports,Same sex marriage ,should be legal,legal,none,it's  unconstitutional ,unconstitutional, tell they can't,none,no
it's unfair to make same sex marriage seem inferior +++$+++ it is no different,supports,it's unfair,unfair to make inferior, same sex marriage inferior,none,it, is no different,none,none,no
It's wrong to tell two people who love each other that they cannot marry +++$+++ it's nobody's business who you fall in love with,supports,It's wrong to tell ,wrong to tell  , people  love marry,none,it's business if two men or two women want to get married,is not business , two men women  get married,none,no
It's wrong to tell two people who love each other that they cannot marry +++$+++ there is no proof saying that it is wrong for them to have those benefits,supports,It's wrong to tell ,wrong to tell  , people  love marry,none,proof ,no wrong ,benefits,none,no
It's wrong to tell two people who love each other that they cannot marry +++$+++ A common married couple gets benefits on health gets to make decisions that are best for their spouse in extreme cases and gets to inherit their spouse's belongings in death,supports,It's wrong to tell ,wrong to tell  , people  love marry,none, married couple, gets benefits , benefits  health decisions  spouse  spouse's belongings  death,none,no
The fact that it's in the bible should not dictate the laws against same sex couples becoming wed +++$+++ the bible states that it is unholy for couples of the same gender to marry,attacks,bible, should not dictate the laws against , laws against same sex couples becoming wed,none, bible ,states is unholy ,unholy couples same gender  marry,none,no
It's wrong to tell two people who love each other that they cannot marry +++$+++ it is no one's business to tell same sex couples they should not be able wed,supports,It's wrong to tell ,wrong to tell  , people  love marry,none, business  tell,should not be able,same sex couples wed,none,no
The fact that it's in the bible should not dictate the laws against same sex couples becoming wed +++$+++ the word of the bible is comparable to law,attacks,bible, should not dictate the laws against , laws against same sex couples becoming wed,none,word  bible ,is comparable to ,law,none,no
Same sex marriage should be legal +++$+++ The fact that it's in the bible should not dictate the laws against same sex couples becoming wed,supports,Same sex marriage ,should be legal,legal,none,bible, should not dictate the laws against , laws against same sex couples becoming wed,none,no
It's wrong to tell two people who love each other that they cannot marry +++$+++ Same sex couples just want the benefits of being married like everyone else,supports,It's wrong to tell ,wrong to tell  , people  love marry,none,Same sex couples, just want the benefits of,benefits married,none,no
It's wrong to tell two people who love each other that they cannot marry +++$+++ By not allowing them to marry all that America is doing is depriving same sex couples of their rights to care for each other and provide for each other,supports,It's wrong to tell ,wrong to tell  , people  love marry,none,allowing them  marry , is doing is depriving ,America same sex couples rights ,none,no
Same sex marriage being illegal rids the couple of their civil rights +++$+++ Homosexual couples are no different,supports,Same sex marriage ,being illegal rids , illegal couple civil rights ,none,Homosexual couples ,are no different,none,none,no
Same sex marriage being illegal rids the couple of their civil rights +++$+++ They deserve to have their civil rights fulfilled,supports,Same sex marriage ,being illegal rids , illegal couple civil rights ,none,They ,deserve to have  fulfilled,civil rights fulfilled,none,no
we have an amendment which protects our country from that exact situation +++$+++ Congress shall make no law respecting an establishment of religion or prohibiting the free exercise thereof,supports,amendment ,protects ,country  situation,none,Congress ,prohibiting,law   religion free exercise ,none,no
Same sex marriage should be legal +++$+++ They should be allowed the benefits of marriage treated equally not like they are inferior and same sex couples should be allowed their civil rights,supports,Same sex marriage ,should be legal,legal,none,They ,should be allowed  benefits ,benefits  marriage  equally civil rights,none,no
Same sex marriage should be legal +++$+++ Making same sex marriage illegal also makes the people who are attracted to the same sex feel inferior,supports,Same sex marriage ,should be legal,legal,none,same sex marriage illegal ,also makes feel inferior, people  attracted same sex  inferior,none,no
Same sex marriage should be legal +++$+++ same sex couples are really just couples and should be treated as such,supports,Same sex marriage ,should be legal,legal,none,same sex couples ,are really should be treated,couples,none,no
it's unfair to make same sex marriage seem inferior +++$+++ Just like you didn't choose who you love neither did they,supports,it's unfair,unfair to make inferior, same sex marriage inferior,none,women ,deserve allowed , vote  get married,none,no
The fact that it's in the bible should not dictate the laws against same sex couples becoming wed +++$+++ we have an amendment which protects our country from that exact situation,supports,bible, should not dictate the laws against , laws against same sex couples becoming wed,none,amendment ,protects ,country  situation,none,no
Same sex marriage should be legal +++$+++ it's unfair to make same sex marriage seem inferior,supports,Same sex marriage ,should be legal,legal,none,it's unfair,unfair to make inferior, same sex marriage inferior,none,no
it's unfair to make same sex marriage seem inferior +++$+++ Homosexuality is not a conscious choice it's something they are born with,supports,it's unfair,unfair to make inferior, same sex marriage inferior,none,Homosexuality ,is not , conscious choice born with,none,no
Homosexuality is not a conscious choice it's something they are born with +++$+++ One day in the future this will be achieved,none,Homosexuality ,is not , conscious choice born with,none,One day  future ,this will be achieved,achieved,none,yes
just like women deserve to vote they should be allowed to get married +++$+++ They deserve to have their civil rights fulfilled,none,women ,deserve allowed , vote  get married,none,They ,deserve to have  fulfilled,civil rights fulfilled,none,yes
Civil rights are something people have worked hard to maintain over the years abolishing slavery and treating women equally +++$+++ There is absolutely no legal logical or governing reason that same sex couples cannot be wed,none,Civil rights ,are  worked hard to maintain treating  equally,abolishing slavery treating women ,none, legal logical  governing reason ,cannot, same sex couples wed,none,yes
Not allowing same sex couples to marry is like saying all people born with a certain hair color should not be allowed marry people of other hair colors It makes no sense +++$+++ They deserve to have their civil rights fulfilled,none,same sex couples  marry ,is like should not be allowed,people  hair color ,none,They ,deserve to have  fulfilled,civil rights fulfilled,none,yes
not allowing them to marry makes them seem inferior +++$+++ Congress shall make no law respecting an establishment of religion or prohibiting the free exercise thereof,none,not allowing them  marry ,makes seem inferior,inferior,none,Congress ,prohibiting,law   religion free exercise ,none,yes
there is no proof saying that it is wrong for them to have those benefits +++$+++ A common married couple gets benefits on health gets to make decisions that are best for their spouse in extreme cases and gets to inherit their spouse's belongings in death,none,proof ,no wrong ,benefits,none, married couple, gets benefits , benefits  health decisions  spouse  spouse's belongings  death,none,yes
it is no different +++$+++ same sex couples are really just couples and should be treated as such,none,it, is no different,none,none,same sex couples ,are really should be treated,couples,none,yes
it's no one else's business if two men or two women want to get married +++$+++ there is no proof saying that it is wrong for them to have those benefits,none,it's business if two men or two women want to get married,is not business , two men women  get married,none,proof ,no wrong ,benefits,none,yes
Same sex couples just want the benefits of being married like everyone else +++$+++ The fact that it's in the bible should not dictate the laws against same sex couples becoming wed,none,Same sex couples, just want the benefits of,benefits married,none,bible, should not dictate the laws against , laws against same sex couples becoming wed,none,yes
